id_time;time
1;Fluminense
2;Internacional
3;Chapecoense
4;Bahia
5;Sao Paulo
6;Athletico-PR
7;Atletico-MG
8;Flamengo
9;Santos
10;Criciuma
11;Coritiba
12;Palmeiras
13;Vitoria
14;Cruzeiro
15;Botafogo-RJ
16;Corinthians
17;Sport
18;Figueirense
19;Gremio
20;Goias
21;Vasco
22;Avai
23;Joinville
24;Ponte Preta
25;Santa Cruz
26;America-MG
27;Atletico-GO
28;Parana
29;Ceara
30;CSA
31;Fortaleza
32;Bragantino
33;Cuiaba
34;Juventude
